Year, State, Pollutant, Yearly Toal Max 8-hour Pollutant Concentration, Yearly Total Pollutant AQI VALUE, Yearly Total Pollutant OBS COUNT, Yearly Average Percent Complete
1999,1,Carbon monoxide,2452.6,27933,32887,99.72925764
1999,2,Carbon monoxide,3418.7,38531,29318,99.63784666
1999,4,Carbon monoxide,10415,118006,131643,99.29580014
1999,5,Carbon monoxide,637.5,7246,8634,99.93055556
1999,6,Carbon monoxide,34497.7,390915,702553,99.70894785
1999,8,Carbon monoxide,8175.6,93077,141355,99.79295154
1999,9,Carbon monoxide,2219.9,25261,42044,99.53579545
1999,10,Carbon monoxide,464.7,5302,14858,99.8516129
1999,11,Carbon monoxide,1126,12816,17426,99.87345254
1999,12,Carbon monoxide,8716.2,99186,202386,99.65410069
1999,13,Carbon monoxide,881.8,10030,16845,99.69744318
1999,15,Carbon monoxide,839,9327,31811,99.58302029
1999,16,Carbon monoxide,2303.1,26174,26138,99.91559633
1999,17,Carbon monoxide,4734.8,53818,86172,99.81873784
1999,18,Carbon monoxide,2459.6,27961,53715,99.64870882
1999,19,Carbon monoxide,1653.6,18775,42248,99.79138322
1999,20,Carbon monoxide,1754.4,19900,43479,99.75770925
1999,21,Carbon monoxide,3258.3,36726,93171,99.79717224
1999,22,Carbon monoxide,1126.7,12835,24564,98.50721848
1999,24,Carbon monoxide,682,7765,14083,99.62308998
1999,25,Carbon monoxide,3053.7,34773,66964,99.12042629
1999,26,Carbon monoxide,2029.6,23089,64466,99.52093368
1999,27,Carbon monoxide,3183.1,36055,78246,99.7622399
1999,28,Carbon monoxide,450.4,5016,17095,99.62097902
1999,29,Carbon monoxide,4168.4,47416,95755,99.84434434
1999,30,Carbon monoxide,3456.6,39308,57701,99.71837412
1999,31,Carbon monoxide,1446.7,16387,25958,99.86888273
1999,32,Carbon monoxide,10549.8,119406,184390,99.79075205
1999,33,Carbon monoxide,858.8,9739,15681,99.44444444
1999,34,Carbon monoxide,6477.4,73588,106926,99.7818589
1999,35,Carbon monoxide,3805.2,43340,88959,99.82790197
1999,36,Carbon monoxide,6652.2,75737,140961,99.34641407
1999,37,Carbon monoxide,5424.5,61709,105305,99.60726447
1999,39,Carbon monoxide,5494.4,62696,144814,99.65152766
